patent_id,filing_date,title,year,abstract
10586755,2020-03-10,"Semiconductor device, and method for manufacturing semiconductor device",2020,
D884157,2020-05-12,Medical device,2020,
10552170,2020-02-04,System and method for activating a medical device using secured and unsecured utilities,2020,
10822636,2020-11-03,Method for determining fibrinogen and automatic analyzer,2020,
10675525,2020-06-09,Erosion resistant composition and method of making same,2020,
10763044,2020-09-01,Acrylic binder and multilayer electronic component using the same,2020,
10643709,2020-05-05,Methods and operating a 3D memory device,2020,
10684293,2020-06-16,Associating somatic gene mutations in glycophorin a with complex multifactorial diseases,2020,
10680990,2020-06-09,Communication system and communication control method,2020,
D881599,2020-04-21,Fishing rod holder,2020,
10824071,2020-11-03,"Method of exposing a semiconductor structure, apparatus for controlling a lithography process performed by a lithography apparatus across a semiconductor structure, non-transitory computer readable medium having instructions stored thereon for generating a weight function",2020,
10744874,2020-08-18,Hybrid vehicle and vehicle,2020,
10550187,2020-02-04,Extra luminal scaffold,2020,
10633607,2020-04-28,Lubricant with sulfur-containing polyalkylene glycol,2020,
10529974,2020-01-07,Secondary battery,2020,
D903142,2020-11-24,Portion cup,2020,
10528520,2020-01-07,Snapshot management using heatmaps in a large capacity disk environment,2020,
10848902,2020-11-24,Geographic information for wireless networks,2020,
10692273,2020-06-23,In-context photorealistic 3D visualization for surgical decision support,2020,
10789427,2020-09-29,Multi-task multi-modal machine learning system,2020,
10870235,2020-12-22,Method for operating a multi-nozzle extruder using zig-zag patterns that provide improved structural integrity,2020,
10588442,2020-03-17,Adjustment and alignment system for a roller blind,2020,
10791801,2020-10-06,Seat belt buckle release assist device,2020,
10828086,2020-11-10,Immunotherapeutic methods using irreversible electroporation,2020,
10687106,2020-06-16,System and method for distributed control of segmented media,2020,
10555335,2020-02-04,Integrated circuit,2020,
10674187,2020-06-02,Systems and methods for shared broadcasting,2020,
10765377,2020-09-08,Heartbeat-signal detecting device,2020,
10854942,2020-12-01,Radio frequency connection arrangement,2020,
10562919,2020-02-18,Complex and process for preparing complex,2020,
10873513,2020-12-22,Workload identification for network flows in hybrid environments with non-unique IP addresses,2020,
10592647,2020-03-17,Authentication using cognitive analysis,2020,
10701858,2020-07-07,"Mobile vehicle, ground treating equipment and orientation adjusting method thereof",2020,
10611473,2020-04-07,Power and data tether for autonomous systems,2020,
10738322,2020-08-11,Negative regulator of plant immunity against nematodes,2020,
10752258,2020-08-25,Apparatus and method for audible driver confirmation for maneuvers in an autonomous vehicle,2020,
10645378,2020-05-05,Focal plane illuminator for generalized photon transfer characterization of image sensor,2020,
10737328,2020-08-11,Method of manufacturing a manganese bismuth alloy,2020,
10646893,2020-05-12,Automatic piezo stroke adjustment,2020,
10857126,2020-12-08,Compositions and methods for improving mitochondrial function and treating neurodegenerative diseases and cognitive disorders,2020,
10745943,2020-08-18,Smart lock box,2020,
10750183,2020-08-18,Methods and apparatuses of sample adaptive offset processing for video coding,2020,
10678264,2020-06-09,Method and system for providing remote robotic control,2020,
D876034,2020-02-18,Vacuum cleaner,2020,
10594339,2020-03-17,Method for generating parity check matrix for low density parity check coding,2020,
10850418,2020-12-01,Cutter calibration,2020,
10758924,2020-09-01,Receptacle for mixing of different materials,2020,
10632954,2020-04-28,Airbag assembly and vehicle seat provided with airbag assembly,2020,
10617988,2020-04-14,Filter cleaning,2020,
10771397,2020-09-08,"Upstream bandwidth allocation method, apparatus, and system",2020,
10634429,2020-04-28,Continuous-flow dryer comprising an exhaust air recirculation device,2020,
10659468,2020-05-19,Access control values,2020,
10864799,2020-12-15,Air delivery systems and methods for a vehicle passenger compartment,2020,
10605418,2020-03-31,Rechargeable flashlight,2020,
10832759,2020-11-10,"Half-width, double pumped data path",2020,
10556234,2020-02-11,Isolation and detection of circulating tumor cells (CTCs),2020,
10837389,2020-11-17,System and method for diagnosing misfiring of a variable displacement engine,2020,
10687656,2020-06-23,Coffee machine,2020,
10728688,2020-07-28,Adaptive audio construction,2020,
10547888,2020-01-28,"Method and device for processing adaptive media service, encoder and decoder",2020,
10853414,2020-12-01,Computer-implemented method for providing content in accordance with emotional state that user is to reach,2020,
10532450,2020-01-14,Tool kit for vehicles,2020,
10681937,2020-06-16,Fibrous filtration material for electronic smoking article,2020,
10836487,2020-11-17,System for unassisted sky diving,2020,
10752238,2020-08-25,Parking assistance device,2020,
10672143,2020-06-02,Image processing method for generating training data,2020,
D876056,2020-02-25,Shoe,2020,
10652633,2020-05-12,"Integrated solutions of Internet of Things and smart grid network pertaining to communication, data and asset serialization, and data modeling algorithms",2020,
10687603,2020-06-23,Decorative showerhead and mirror,2020,
10832640,2020-11-10,Plectrum for playing a stringed instrument and method of using same,2020,
10557238,2020-02-11,Lost sand collecting apparatus for preventing coastal erosion,2020,
10866299,2020-12-15,Method and apparatus for determining azimuth for transmission by base station,2020,
10764442,2020-09-01,Muting an audio device participating in a conference call,2020,
10527584,2020-01-07,Continuous cell detection by isotachophoresis,2020,
10633377,2020-04-28,Imidazole and thiazole compositions for modifying biological signaling,2020,
D891684,2020-07-28,Luminaire,2020,
10699443,2020-06-30,Reducing the search space for real time texture compression,2020,
10671411,2020-06-02,Cloning for object-oriented environment,2020,
10832339,2020-11-10,System and method for using object recognition to facilitate the collection of insurance information,2020,
10681771,2020-06-09,Unified media access control (MAC) for multiple physical layer devices,2020,
10750999,2020-08-25,Extended balloon assembly for a catheter,2020,
10839289,2020-11-17,Neural network processing with von-Neumann cores,2020,
10750573,2020-08-18,BLE scatternet system and method,2020,
10802756,2020-10-13,Flash queue status polling,2020,
10535646,2020-01-14,Systems and methods for a sequential spacer scheme,2020,
10767872,2020-09-08,Built-in oven with height adjuster,2020,
D887056,2020-06-09,Spotlight,2020,
10654611,2020-05-19,Retail ready packaging,2020,
10850236,2020-12-01,"Low dispersion, fast response mixing device",2020,
10741205,2020-08-11,Brake device,2020,
10610663,2020-04-07,"Systems, devices and methods for performing medical procedures in the intestine",2020,
10559969,2020-02-11,Charging cable and charging control device,2020,
10821009,2020-11-03,"Vascular medical device, system and method",2020,
10710272,2020-07-14,Hybrid material airflow impression molds,2020,
D901899,2020-11-17,Hair straightening brush,2020,
10841306,2020-11-17,System for authentication center,2020,
10535571,2020-01-14,Wafer-scale testing of photonic integrated circuits using horizontal spot-size converters,2020,
10726365,2020-07-28,Secure facility resident grievance/request filing system,2020,
10640157,2020-05-05,Assembly of subassemblies having a mating bond interface for a motor vehicle,2020,
10766733,2020-09-08,"Electric wire processing apparatus, electric wire processing method, and electric wire holding structure",2020,
10673919,2020-06-02,Concurrent input monitor and ingest,2020,
10704323,2020-07-07,Resistance adjusting device for non-pull cord window blind,2020,
10838479,2020-11-17,"Information processing system, management device, and method of controlling information processing system",2020,
10800247,2020-10-13,Hybrid vehicle powertrain with manual transmission,2020,
10559921,2020-02-11,Connector,2020,
10832631,2020-11-10,Display device and method of driving the same,2020,
10604355,2020-03-31,Flight and product indexing assemblies for packaging,2020,
10712794,2020-07-14,Accurate calculation of consumption power of a processor caused by execution of a program,2020,
10864370,2020-12-15,Multi-loop coupling for lead extension and extraction,2020,
10833688,2020-11-10,Electronic control device,2020,
10739257,2020-08-11,Method and system for the relative referencing of a target gas in an optical measuring system for laser spectroscopy,2020,
10524488,2020-01-07,Composition and method for reducing or treating oral inflammation,2020,
10631251,2020-04-21,Gain control circuit supporting dynamic gain control in a remote unit in a wireless distribution system (WDS),2020,
10634486,2020-04-28,Device for measuring endogenous deformations,2020,
10595691,2020-03-24,Vacuum cleaner,2020,
10743593,2020-08-18,Outerwear having enhanced hood,2020,
10577853,2020-03-03,Systems and methods for controlling the operation of a movable panel wall system,2020,
10818900,2020-10-27,"UV or EB cured polymer-bonded ceramic particle lithium secondary battery separators, method for the production thereof",2020,
10862051,2020-12-08,"Benzimidazo[1,2-a]benzimidazole derivatives for electronic applications",2020,
10853601,2020-12-01,Barcode reading device that controls illumination without signaling from an image sensor,2020,
10602953,2020-03-31,Electro-oculographic detector and electro-oculographic detection method,2020,
D901918,2020-11-17,Bus seat,2020,
10612893,2020-04-07,Vehicular external force absorption systems and methods,2020,
10524960,2020-01-07,Otologic surgery device and method for drilling a passage up to a cochlea,2020,
10833851,2020-11-10,Methods and systems for linear key agreement with forward secrecy using an insecure shared communication medium,2020,
10742187,2020-08-11,System and method for distortion limiting,2020,
10642444,2020-05-05,"Image display control device, and image display control method",2020,
10807704,2020-10-20,Aircraft landing gear fitted with a braked wheel,2020,
10536311,2020-01-14,Direct conversion receiver,2020,
10611207,2020-04-07,Air conditioning system for vehicle,2020,
10615571,2020-04-07,Spectrally shaped tunable short-cavity laser,2020,
D890066,2020-07-14,Vehicle wheel,2020,
10613836,2020-04-07,Hardware device based software verification,2020,
D901469,2020-11-10,Display mount,2020,
D881265,2020-04-14,Clip-on for piano keys and electronic keyboard keys,2020,
10575529,2020-03-03,Modified biological control agents and their uses,2020,
10582362,2020-03-03,Communication device and non-transitory computer-readable recording medium,2020,
10625816,2020-04-21,Complex cleat for clipless pedal,2020,
D884311,2020-05-19,Liquid filled glitter vest,2020,
10689163,2020-06-23,Dosing device to equip a container and container including such a device,2020,
10614101,2020-04-07,Virtual agent for improving item identification using natural language processing and machine learning techniques,2020,
10712514,2020-07-14,Optical module,2020,
10538075,2020-01-21,"Silicone composition for printing plates, lithographic printing plate master, lithographic printing plate and method of producing printed matter",2020,
10773762,2020-09-15,Forward facing vehicle transport apparatus,2020,
10560086,2020-02-11,Fault and short-circuit protected output driver,2020,
10699806,2020-06-30,"Monitoring system, wearable monitoring device and method",2020,
10824576,2020-11-03,Smart I/O stream detection based on multiple attributes,2020,
10870768,2020-12-22,Composition for making coated yarn,2020,
10758869,2020-09-01,"Fluid purification by forward osmosis, ion exchange and re-concentration",2020,
10684189,2020-06-16,Air tight packaging container for easy leakage test and leakage test method and apparatus using same,2020,
10534565,2020-01-14,"Programmable, area-optimized bank group rotation system for memory devices",2020,
10685630,2020-06-16,Just-in time system bandwidth changes,2020,
10676526,2020-06-09,FcRn antibodies and methods of use thereof,2020,
10813421,2020-10-27,End cap structure for cane/crutch/trekking pole,2020,
10779630,2020-09-22,Beauty and skin care treatment product and method,2020,
10853519,2020-12-01,System on chip and method for implementing secure operating system switching,2020,
10868340,2020-12-15,"Secondary battery, battery pack, vehicle, and stationary power supply",2020,
D879957,2020-03-31,Distal tip of an atherectomy / thrombectomy catheter with suction port,2020,
10661893,2020-05-26,Lightweight flying vehicle,2020,
10529739,2020-01-07,Asymmetric band gap junctions in narrow band gap MOSFET,2020,
10822331,2020-11-03,Processes for preparing ATR inhibitors,2020,
10864259,2020-12-15,Methods and compositions for the treatment of melanoma,2020,
10585510,2020-03-10,"Apparatus, systems, and methods for transferring objects between multiple display units",2020,
10794791,2020-10-06,"Method for checking a connection state between a blood treatment apparatus and a blood tubing set, and apparatuses",2020,
10617141,2020-04-14,Slicing apparatus and method for making vegetable slices,2020,
10873743,2020-12-22,Stereoscopic display device and stereoscopic display control method,2020,
10840547,2020-11-17,Encapsulated sulfide glass solid electrolytes and solid-state laminate electrode assemblies,2020,
10834033,2020-11-10,Method and system for transferring messages between messaging systems,2020,
10679764,2020-06-09,Metal nanowire electrode and manufacturing method of the same,2020,
PP32180,2020-09-15,Floribunda rose plant named ‘Sproflored’,2020,
D896940,2020-09-22,Heating exchanger cover,2020,
10532512,2020-01-14,Additive manufacturing apparatus,2020,
10796803,2020-10-06,Method for integrating and providing collected data from multiple devices and electronic device for implementing same,2020,
10626353,2020-04-21,Cleaning formulations,2020,
10529438,2020-01-07,DRAM and method of designing the same,2020,
10840127,2020-11-17,Integrated circuit (IC) device,2020,
10761983,2020-09-01,Memory based configuration state registers,2020,
10642207,2020-05-05,Image forming apparatus,2020,
10584826,2020-03-10,Goal securement system and method,2020,
10805327,2020-10-13,Spatial cosine similarity based anomaly detection,2020,
10876904,2020-12-29,"Carbon nanotube sensing system, carbon nanotube dew point hygrometer, method of use thereof and method of forming a carbon nanotube dew point hygrometer",2020,
10730037,2020-08-04,Compound and method for manufacturing organic material,2020,
10827991,2020-11-10,X-ray diagnosis apparatus and image processing apparatus,2020,
10768289,2020-09-08,Pulsed radar system and method of operating a pulsed radar system,2020,
10537038,2020-01-14,Electrical panel enclosure including baffle to inhibit water ingress,2020,
10739486,2020-08-11,Determination of dispersive resistive and dielectric properties of earth formations using multi-frequency measurements,2020,
D897163,2020-09-29,French fry cutter,2020,
D881646,2020-04-21,Microwave oven rack,2020,
10653357,2020-05-19,"Device, method and system for implementing a physical area network for cancer immunotherapy",2020,
10840368,2020-11-17,Semiconductor device,2020,
10740457,2020-08-11,System for preventing malicious operator placement in streaming applications,2020,
10808327,2020-10-20,Reduced volume electrochlorination cells and methods of manufacturing same,2020,
D876800,2020-03-03,Shoe,2020,
10602978,2020-03-31,Systems and methods for improved brain monitoring during general anesthesia and sedation,2020,
10870214,2020-12-22,Router lift,2020,
10574473,2020-02-25,Visualizing conversations across conference calls,2020,
10573952,2020-02-25,Antenna device,2020,
10590763,2020-03-17,Proppant additives for hydraulic fracturing,2020,
10582087,2020-03-03,"Image processing apparatus, control method, and non-transitory computer-readable storage medium",2020,
10843050,2020-11-24,Multi-material iron-type golf club head,2020,
10616012,2020-04-07,"Transmitting device, receiving device, and communication system",2020,
10536675,2020-01-14,"Image capturing apparatus, driving method therefor, and image capturing system",2020,
10576732,2020-03-03,Printer and printing method,2020,
D889390,2020-07-07,Automobile tire,2020,
10695395,2020-06-30,Collagen 7 compositions and methods of using the same,2020,
10559097,2020-02-11,"Methods and systems for providing mapping, data management, and analysis",2020,
10769901,2020-09-08,Three-dimensional holographic visual and haptic object warning based on visual recognition analysis,2020,
10785676,2020-09-22,Electronic device and traffic control method thereof,2020,
10655061,2020-05-19,Process for the preparation of blue-flourescence emitting carbon dots (CDTS) from sub-bituminous tertiary high sulfur Indian coals,2020,
10564041,2020-02-18,Multi-band heat flux gauge,2020,
10710971,2020-07-14,Carbonate-promoted carboxylation reactions for the synthesis of valuable organic compounds,2020,
10726523,2020-07-28,"Image processing apparatus, image processing method, and storage medium",2020,
10715933,2020-07-14,Bilateral hearing aid system comprising temporal decorrelation beamformers,2020,
10792336,2020-10-06,Method of treating hemophilia A,2020,
10733137,2020-08-04,Low latency direct access block storage in NVME-of ethernet SSD,2020,
10601706,2020-03-24,Gateway configuration method and gateway device,2020,
10699462,2020-06-30,Character morphing system,2020,
10582067,2020-03-03,Non-transitory computer-readable recording medium storing computer-readable instructions for communication device and communication device,2020,
10785013,2020-09-22,Priority-based carrier selection in distributed wireless networks,2020,
10610382,2020-04-07,Bidirectional biomechanical prosthetic full finger configured for abduction and adduction with MCP pivot,2020,
10868774,2020-12-15,"Line card chassis, multi-chassis cluster router, routing selecting, and packet processing",2020,
10607588,2020-03-31,Free form modular pickup system,2020,
10668003,2020-06-02,Product and method for the temporary shaping of keratin-containing fibers,2020,
10730805,2020-08-04,Use of quarry fines and/or limestone powder to reduce clinker content of cementitious compositions,2020,
10678520,2020-06-09,Replacement algorithm selection platform,2020,
10643168,2020-05-05,"Using customer and workload profiling and analytics to determine, score, and report portability of customer and test environments and workloads",2020,
10832620,2020-11-10,Liquid crystal display device,2020,
10798583,2020-10-06,Mobile device user detection,2020,
10582778,2020-03-10,Inflatable airbed mattress internal support system,2020,
10691151,2020-06-23,Devices and methods for dynamic overvoltage protection in regulators,2020,
D877763,2020-03-10,Display screen with graphical user interface,2020,
10529102,2020-01-07,"Image processing system, image processing apparatus, image processing method, and program",2020,
10879334,2020-12-29,Flexible display device,2020,
10569625,2020-02-25,Apparatus and method for distributing a tarp over a cargo on a truck load bed,2020,
10616182,2020-04-07,Data access and firewall tunneling using a custom socket factory,2020,
10663021,2020-05-26,Disc brake for a motor vehicle and brake pad assembly therefor,2020,
10729431,2020-08-04,Suture device,2020,
10874276,2020-12-29,Proximity detection,2020,
10790859,2020-09-29,Error correction circuit and operating method thereof,2020,
10547809,2020-01-28,Systems for facilitating interactions between consumers and individuals having marketable public recognition,2020,
10865518,2020-12-15,Paperless transfer printing method,2020,
10636006,2020-04-28,"Methods, devices, and systems for prioritizing mobile network trouble tickets based on customer impact",2020,
10787321,2020-09-29,Bi-way conveyor system for power storage,2020,
10701552,2020-06-30,Enhanced dynamic feature support in wireless diameter-based networks,2020,
10599095,2020-03-24,Image forming apparatus,2020,
D896048,2020-09-15,Electric can opener,2020,
10564532,2020-02-18,Optical unit and projector including the same,2020,
10693445,2020-06-23,Magnetic tunnel junction ring oscillator with tunable frequency and methods for operating the same,2020,
10805587,2020-10-13,System and methods for enabling automatic white balance correction for color cameras,2020,
10877441,2020-12-29,Timepiece comprising a near field communication device,2020,
10547984,2020-01-28,Method and device for stopping SCPTM transmission,2020,
10609207,2020-03-31,Sending smart alerts on a device at opportune moments using sensors,2020,
10642578,2020-05-05,Approximating functions,2020,
10861622,2020-12-08,High-speed cable assembly,2020,
D906193,2020-12-29,Front bumper with fog lights,2020,
10683628,2020-06-16,"System for installing anti-scouring material in a self-floating marine foundation, and associated methods and uses of said system",2020,
10807864,2020-10-20,Methods of achieving universal interfacing using suspended and/or freestanding structures,2020,
10742359,2020-08-11,Apparatus and method for improving messaging system reliability,2020,
10556931,2020-02-11,Broad spectrum conjugate vaccine to prevent klebsiella pneumoniae and pseudomonas aeruginosa infections,2020,
10537133,2020-01-21,Thin wall product display tube,2020,
10623564,2020-04-14,"System for real time, remote access to and adjustment of patient hearing aid with patient in normal life environment",2020,
10683709,2020-06-16,Shunt system with shroud secured by a locking member,2020,
10651943,2020-05-12,Inherently broadband linearized electro-optic modulator with customizable performance,2020,
10710756,2020-07-14,Smoking article and method for a cigar or cigarillo having a longitudinal bore for adjustable draw,2020,
10880775,2020-12-29,Closed-loop transmission rate control,2020,
10751671,2020-08-25,"Porous hollow fiber membrane, method for producing same, and water purification method",2020,
10790312,2020-09-29,Display panel and display device,2020,
10690035,2020-06-23,Diffuser assemblies and catalytic reactors comprising the same,2020,
10657326,2020-05-19,Removable spell checker device,2020,
D884799,2020-05-19,Skin cover set for a gaming console,2020,
10814912,2020-10-27,Trailer backup assist system having advanced user mode with selectable hitch angle limits,2020,
10549563,2020-02-04,Magnetic ink reading apparatus and printer,2020,
10785945,2020-09-29,Plants and seeds of hybrid corn variety CH101373,2020,
10736796,2020-08-11,Reclosable fastener with inactive regions,2020,
10595032,2020-03-17,Syntax structures for high dynamic range and wide color gamut video coding,2020,
10564692,2020-02-18,Memory device and power reduction method of the same memory device,2020,
10648301,2020-05-12,Method and system for pressure regulation of well fluid from a hydrocarbon well,2020,
10866466,2020-12-15,"Liquid crystal phase shifter, phase shifting method, and method of fabricating the liquid crystal phase shifter",2020,
10664136,2020-05-26,"Method, system and apparatus for selecting items in a graphical user interface",2020,
10847871,2020-11-24,Three-slotted antenna apparatus and method,2020,
10709262,2020-07-14,Child carrying system,2020,
10539095,2020-01-21,Aircraft gas turbine engine nacelle,2020,
10850735,2020-12-01,Axle range shift-assist for auxiliary braking,2020,
10652924,2020-05-12,Universal reservation signal for wireless communications,2020,
10790766,2020-09-29,Dynamic energy harvesting and variable harvesting force system,2020,
10578525,2020-03-03,Chemical preconcentrator with integrated heat source for enhanced chemical analysis,2020,
10619684,2020-04-14,Partially lined motor-vehicle disk brake with friction linings which are provided with pull-support in a frame-shaped holder,2020,
10540381,2020-01-21,Techniques and components to find new instances of text documents and identify known response templates,2020,
D889495,2020-07-07,Display screen or portion thereof with graphical user interface,2020,
10805251,2020-10-13,Method and system for filtering electronic communications,2020,
10728658,2020-07-28,Electronic circuit for protecting element from over-voltage and electronic device including the same,2020,
10551823,2020-02-04,Numerical controller,2020,
10713778,2020-07-14,"Semiconductor defect classification device, method for classifying defect of semiconductor, and semiconductor defect classification system",2020,
10705352,2020-07-07,Smart automated contact lens cleansing device,2020,
10675696,2020-06-09,"Method for machining a toothing, a machining tool, and a machine tool",2020,
10634062,2020-04-28,Two-shaft tower shaft support,2020,
10713273,2020-07-14,Reactivation of service objects using call back address for a communication event,2020,
10573874,2020-02-25,Method of manufacturing electronical connection means,2020,
10760310,2020-09-01,Replacement door hinges for aligning a door in relation to a door jamb,2020,
10636113,2020-04-28,"Method and apparatus for displaying picture content in application, and storage medium",2020,
10687642,2020-06-23,Microstructured packaging surfaces for enhanced grip,2020,
10874548,2020-12-29,Therapeutic agent formulations for implanted devices,2020,
10573263,2020-02-25,Driver IC and electronic apparatus,2020,
10632004,2020-04-28,Hollow drug-filled stent and method of forming hollow drug-filled stent,2020,
10816022,2020-10-27,Gap regulator of multi display and multi display having the same,2020,
10802495,2020-10-13,User control device for a transporter,2020,
D899673,2020-10-20,Rectilinear mounting plate for light fixtures,2020,
10602489,2020-03-24,Self-contained uplink for reduced duration transmission time interval,2020,
10805529,2020-10-13,Electronic device and method for displaying 360-degree image in the electronic device,2020,
10598846,2020-03-24,Optical sheet module consisting of optical sheets having different thicknesses,2020,
10554050,2020-02-04,Method and apparatus for controlling solar power systems,2020,
D894810,2020-09-01,Vehicle wheel rim,2020,
10670801,2020-06-02,Illuminated drain stopper,2020,
10742668,2020-08-11,"Network attack pattern determination apparatus, determination method, and non-transitory computer readable storage medium thereof",2020,
10574449,2020-02-25,Fibre-optic communication based on dual-rail and polarization encoding,2020,
10818178,2020-10-27,Vehicle operation management system and vehicle operation management method,2020,
10616947,2020-04-07,TCP performance over cellular mobile networks,2020,
10665800,2020-05-26,Inverted solar cell and process for producing the same,2020,
10708116,2020-07-07,Parallel distributed network management,2020,
10850624,2020-12-01,Control of fuel consumption in a hybrid vehicle,2020,
10603126,2020-03-31,Device for robot-assisted surgery,2020,
10613493,2020-04-07,Fusion sensor wireless decision device and system for using the same,2020,
10623107,2020-04-14,Optical transmission device and method for controlling optical transmission device,2020,
10551012,2020-02-04,Wrist-mounted flashlight with remote control switch,2020,
10655202,2020-05-19,Method for manufacturing aluminum alloy member and aluminum alloy member manufactured by the same,2020,
10569496,2020-02-25,Transfer film and method for manufacturing transfer film,2020,
10537908,2020-01-21,Riser assemblies with utility conduits,2020,
10810713,2020-10-20,Image processing device and image processing method,2020,
10725618,2020-07-28,Populating contact information,2020,
10669786,2020-06-02,Two-part bit wiring assembly,2020,
10875174,2020-12-29,Modular autonomous bot apparatus assembly for transporting an item being shipped,2020,
10644180,2020-05-05,Solar cell and solar cell assembly,2020,
10684558,2020-06-16,"Motor assembly, lithographic apparatus and device manufacturing method",2020,
10778996,2020-09-15,Method and apparatus for decoding a video block,2020,
10808677,2020-10-20,Fluid driven vertical axis turbine,2020,
10864257,2020-12-15,Method for prevention or treatment of acute and chronic thrombosis,2020,
10631796,2020-04-28,Brake system and medical apparatus including the same,2020,
10654293,2020-05-19,Radial lift mechanism for print engine having multiple printheads,2020,
10718932,2020-07-21,Light sheet imaging microscopy using an optical trap,2020,
10863332,2020-12-08,Roadside communication apparatus and in-vehicle communication apparatus,2020,
10743341,2020-08-11,Method for processing an uplink grant of which a resource size is zero in wireless communication system and a device therefor,2020,
10774927,2020-09-15,Method to determine leakage of a hydraulic pump,2020,
10701677,2020-06-30,Method and apparatus for uplink resource assignment for cellular network using unlicensed bands,2020,
10858048,2020-12-08,Structural member and method of production of same,2020,
10682286,2020-06-16,"Gastric systems, apparatus, and methods for use with enteral feeding",2020,
10548510,2020-02-04,Objective balance error scoring system,2020,
10670508,2020-06-02,Microfluidic device for selection of semen,2020,
10647312,2020-05-12,Apparatus and method,2020,
10820541,2020-11-03,Plants and seeds of corn variety CV597064,2020,
10534303,2020-01-14,Image forming apparatus with separator,2020,
10666980,2020-05-26,Image coding method and image coding apparatus,2020,
D904225,2020-12-08,Self-balancing board,2020,
